Name,Country,QS Global World Ranking,Status,Research Output,Total Students,Academic Faculty Staff,International Students,Overall Score,Academic Reputation,Employer Reputation,Faculty Student,Citations per Faculty,International Faculty,Number of International Students,Number of International Faculty
Ateneo de Manila University,Philippines,#601-650,Private,Medium,"10,532","1,035",413,,, 36.6, 40.2,,,413,25
Bangor University,United Kingdom,#601-650,Public,High,"8,825",745, 60.8,,,,, 33.8, 57.5,"1,961",165
Carleton University,Canada,#601-650,Public,Very High,"26,192",939, 47.3,,,,, 43.3, 33.5,"5,371",154
Chiang Mai University,Thailand,#601-650,Public,High,"35,628","2,343","1,206",, 30, 25.9,,,,"1,206",127
Drexel University,United States,#601-650,Private,Very High,"19,994","1,860", 23.4,,,, 34.1, 29.6,,"2,586",145
East China University of Science and Technology,China Mainland,#601-650,Public,Very High,"26,884","2,001",551,,,,, 59.3,,551,32
Eötvös Loránd University,Hungary,#601-650,Public,Very High,"26,381","1,988", 25.5,, 23.4,,,,,"3,517",128
Gifu University,Japan,#601-650,Public,High,"7,390",996,325,,,, 76.1,,,325,33
Holy Spirit University of Kaslik,Lebanon,#601-650,Private,Medium,"6,177",649, 35.1,,,, 47.7,, 98.7,985,291
Hunan University,China Mainland,#601-650,Public,Very High,"36,502","2,702","1,191",,,,, 63.6,,"1,191",118
International Islamic University Malaysia (IIUM),Malaysia,#601-650,Public,High,"26,266","1,904", 65.6,, 18.8,,,, 27.2,"6,159",249
Iran University of Science and Technology,Iran,#601-650,Public,Very High,"15,004",520,105,,,,, 78.3,,105,0
Jinan University (China),China Mainland,#601-650,Public,Very High,"39,846","2,412", 86.1,,,,, 42.1, 51,"11,950",488
Abai Kazakh National Pedagogical University,Kazakhstan,#601-650,Public,Medium,"10,434","1,070",469,,,, 57.2,, 32,469,156
King Khalid University,Saudi Arabia,#601-650,Public,Medium,"38,805","3,545",656,,,, 53.2,, 100,656,2625
Lobachevsky University,Russia,#601-650,Public,Very High,"15,872","2,006", 19,,,, 68.9,,,"1,792",34
Michigan Technological University,United States,#601-650,Public,Very High,"6,658",559, 21.5,,,, 27.4, 40.4,,807,38
Middle East Technical University,Turkey,#601-650,Public,Very High,"22,967","1,270","1,566",, 23.3, 39.3,, 19.9,,"1,566",52
Missouri University of Science and Technology,United States,#601-650,Public,Very High,"7,578",395, 17,,,,, 57.8, 62.6,804,128
National Chung Hsing University,Taiwan,#601-650,Public,Very High,"12,758","1,081",840,,,, 27.1, 22.9,,840,56
Shenzhen University,China Mainland,#601-650,Public,Very High,"35,397","4,208",370,,,, 61.4,,,370,373
Smith College,United States,#601-650,Private,High,"2,874",375, 23.3,,,, 72.5,,,365,20
"Sofia University ""St. Kliment Ohridski""",Bulgaria,#601-650,Public,High,"18,910","2,606","1,409",,,, 53.4,,,"1,409",26
Syracuse University,United States,#601-650,Private,Very High,"20,620","1,402", 56.3,,, 19.8,, 20.7,,"4,354",56
Taras Shevchenko National University of Kyiv,Ukraine,#601-650,Public,Very High,"23,970","2,257","1,130",,, 28.8, 42.1,,,"1,130",19
Tokushima University,Japan,#601-650,Public,Very High,"7,508",964,205,,,, 70.7,,,205,22
Tokyo University of Agriculture and Technology,Japan,#601-650,Public,Very High,"5,690",390,321,,,,, 48.8,,321,11
Ulster University,United Kingdom,#601-650,Public,High,"14,669","1,103", 17.1,,,,, 19.3, 99.4,"1,563",519
University of Salamanca,Spain,#601-650,Public,High,"27,280","1,999", 28.1,, 24.7,,,,,"3,844",72
Università degli Studi di Pavia,Italy,#601-650,Public,Very High,"26,483","1,277","2,162",, 22.2,,, 36.2,,"2,162",56
Université de Fribourg,Switzerland,#601-650,,Very High,"12,633",589, 48.7,,,,, 27.2, 100,"2,388",293
University of Bradford,United Kingdom,#601-650,Public,Very High,"8,490",535, 79.4,,,,, 23.9, 46.3,"2,330",101
University of Cincinnati,United States,#601-650,Public,Very High,"31,377","2,756","2,800",,,, 30.8, 28.9,,"2,800",140
University of Hull,United Kingdom,#601-650,Public,High,"13,678","1,047", 46.1,,,,, 28.1, 63.2,"2,552",250
University of Jordan,Jordan,#601-650,Public,High,"30,846","2,075", 32.1,, 24.4, 34.1,,, 22.9,"4,680",241
University of Kentucky,United States,#601-650,Public,Very High,"27,183","2,216","1,423",,,, 25.3, 31.9, 18,"1,423",217
University of Ljubljana,Slovenia,#601-650,Public,Very High,"38,762","3,833","2,476",, 19.7,, 41.4,,,"2,476",97
University of Manitoba,Canada,#601-650,Public,Very High,"31,309","3,137", 32.3,,,, 42.7,,,"4,941",0
University of New Mexico,United States,#601-650,Public,Very High,"18,836","2,119",870,,,, 24.1, 30.8,,870,112
University of Portsmouth,United Kingdom,#601-650,Public,High,"22,386","1,359", 74.7,,, 18.1,,, 76.3,"5,813",385
University of Sharjah,United Arab Emirates,#601-650,Private,High,"13,492",665, 100,,,,,, 100,"7,749",629.7
University of Vermont,United States,#601-650,Public,High,"12,073","1,476",632,,,, 65, 21.1,,632,56
American University,United States,#651-700,Private,High,"11,660","1,091", 18.7,,, 18.9, 36.2,,,"1,306",25
Beijing University of Technology,China Mainland,#651-700,Public,Very High,"23,196","2,378",785,,,, 45.1, 22,,785,111
Brno University of Technology,Czech Republic,#651-700,Public,Very High,"17,074","1,485", 63.5,,, 29.1, 25.7,,,"3,910",109
Bogaziçi Üniversitesi,Turkey,#651-700,Public,High,"13,772",617,387,, 18.6, 37.6,, 21.6,,387,39
City University of New York,United States,#651-700,Public,Very High,"123,892","7,782","6,462",, 28.6,,,,,"6,462",401
Edith Cowan University,Australia,#651-700,Public,High,"15,211",918, 88.2,,,,, 20.3, 62.1,"4,815",216
Howard University,United States,#651-700,Private,High,"8,666","1,073",639,,,, 66.5,,,639,0
Jadavpur University,India,#651-700,Public,Very High,"10,532",718,67,,,,, 45.8,,67,0
Jordan University of Science & Technology,Jordan,#651-700,Public,High,"21,087","1,771", 36.1,,, 22.7, 26.1,,,"3,417",153
Kagoshima University,Japan,#651-700,Public,High,"10,326","1,331",343,,,, 71.1,,,343,43
Lahore University of Management Sciences (LUMS),Pakistan,#651-700,Private,High,"4,156",390,57,,, 51.7, 25.8,,,57,31
Leibniz University Hannover,Germany,#651-700,Public,Very High,"29,602","2,517", 37.7,, 20.3, 19.3,,, 29.9,"4,914",351
National and Kapodistrian University of Athens,Greece,#651-700,Public,Very High,"66,085","2,164","6,228",, 21.5, 26,, 25.3,,"6,228",86
"National Technical University ""Kharkiv Polytechnic Institute""",Ukraine,#651-700,Public,High,"12,142","1,522","1,085",,,, 67.9,,,"1,085",6
Northumbria University at Newcastle,United Kingdom,#651-700,Public,Very High,"22,273","1,471", 48.3,,, 21.9,, 18.6, 45.2,"4,272",273
